id,year,title,petitioner,respondent,adv_sides_inferred,known_respondent_adv,win_side,is_eq_divided,votes_side_j__abe_fortas,votes_side_j__anthony_m_kennedy,votes_side_j__antonin_scalia,votes_side_j__arthur_j_goldberg,votes_side_j__brett_m_kavanaugh,votes_side_j__byron_r_white,votes_side_j__charles_e_whittaker,votes_side_j__clarence_thomas,votes_side_j__david_h_souter,votes_side_j__earl_warren,votes_side_j__elena_kagan,votes_side_j__felix_frankfurter,votes_side_j__harold_burton,votes_side_j__harry_a_blackmun,votes_side_j__hugo_l_black,votes_side_j__john_g_roberts_jr,votes_side_j__john_m_harlan2,votes_side_j__john_paul_stevens,votes_side_j__lewis_f_powell_jr,votes_side_j__neil_gorsuch,votes_side_j__potter_stewart,votes_side_j__ruth_bader_ginsburg,votes_side_j__samuel_a_alito_jr,votes_side_j__sandra_day_oconnor,votes_side_j__sherman_minton,votes_side_j__sonia_sotomayor,votes_side_j__stanley_reed,votes_side_j__stephen_g_breyer,votes_side_j__thurgood_marshall,votes_side_j__tom_c_clark,votes_side_j__warren_e_burger,votes_side_j__william_h_rehnquist,votes_side_j__william_j_brennan_jr,votes_side_j__william_o_douglas,advocates_1_id,advocates_1_side,advocates_2_id,advocates_2_side,advocates_3_id,advocates_3_side,advocates_4_id,advocates_4_side,advocates_5_id,advocates_5_side,advocates_6_id,advocates_6_side,advocates_7_id,advocates_7_side,advocates_8_id,advocates_8_side,advocates_9_id,advocates_9_side,advocates_10_id,advocates_10_side,advocates_11_id,advocates_11_side,advocates_12_id,advocates_12_side,advocates_13_id,advocates_13_side,advocates_14_id,advocates_14_side,advocates_15_id,advocates_15_side,advocates_16_id,advocates_16_side,advocates_17_id,advocates_17_side,advocates_18_id,advocates_18_side,advocates_19_id,advocates_19_side,advocates_20_id,advocates_20_side,advocates_21_id,advocates_21_side
1990_89-7370,1990,Gozlon-Peretz v. United States,Gozlon-Peretz,United States,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,peter_goldberger,1.0,amy_l_wax,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-50,1990,Gregory v. Ashcroft,Gregory,Ashcroft,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,0.0,,,,,,0.0,,,,,1.0,,,0.0,,,jim_j_shoemake,1.0,james_b_deutsch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1149,1990,Grogan v. Garner,Grogan,Garner,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,michael_j_gallagher,1.0,timothy_k_mcnamara,0.0,john_g_roberts_jr,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1166,1990,"Groves v. Ring Screw Works, Ferndale Fastener Division",Groves,"Ring Screw Works, Ferndale Fastener Division",False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,terence_v_page,0.0,laurence_e_gold,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-7272,1990,Harmelin v. Michigan,Harmelin,Michigan,False,True,0.0,False,,0.0,0.0,,,1.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,richard_thompson,0.0,carla_j_johnson,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-7645,1990,Hernandez v. New York,Hernandez,New York,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,jay_m_cohen,0.0,kenneth_kimerling,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-813,1990,Houston Lawyers' Association v. Attorney General of Texas,Houston Lawyers' Association,Attorney General of Texas,False,True,1.0,False,,0.0,0.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,0.0,,,julius_levonne_chambers,1.0,max_renea_hicks,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-7225,1990,In re Demos,"John Robert Demos, Jr.",United States District Court for the Eastern District of Washington,False,False,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-6051,1990,In re Sindram,Sindram,N/A,False,False,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1298,1990,Ingersoll-Rand Company v. McClendon,Ingersoll-Rand Company,McClendon,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,john_w_tavormina,0.0,hollis_t_hurd,1.0,christopher_j_wright,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1330,1990,"International Organization of Masters, Mates & Pilots v. Brown","International Organization of Masters, Mates & Pilots",Brown,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,w_michel_pierson,1.0,james_a_feldman,2.0,paul_alan_levy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-89,1990,"International Primate Protection League v. Administrators, Tulane Educational Fund",International Primate Protection League,"Administrators, Tulane Educational Fund",False,True,1.0,False,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,richard_h_seamon,0.0,margaret_e_woodward,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1215,1990,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW",Automobile Workers,"Johnson Controls, Inc.",False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,marsha_s_berzon,1.0,stanley_s_jaspan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-5867,1990,Irwin v. Department of Veterans Affairs,Irwin,Department of Veterans Affairs,False,True,0.0,False,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,1.0,,,,,,0.0,,,,,0.0,,,0.0,,,jon_t_ker,1.0,john_g_roberts_jr,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-680,1990,James M. Beam Distilling Company v. Georgia,James M. Beam Distilling Company,Georgia,False,True,1.0,False,,0.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,amelia_w_baker,0.0,morton_siegel,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-693,1990,Johnson v. Home State Bank,Johnson,Home State Bank,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,calvin_dee_rider,0.0,w_thomas_gilman,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-516,1990,"Kamen v. Kemper Financial Services, Inc.",Kamen,"Kemper Financial Services, Inc.",False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,richard_m_meyer,1.0,joan_m_hall,0.0,michael_r_dreeben,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-79,1990,Kay v. Ehrler,Kay,Ehrler,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,ann_m_sheadel,0.0,timothy_b_dyk,1.0,robert_a_long_jr,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-333,1990,"Lampf, Pleva, Lipkind, Prupis & Petigrow v. Gilbertson","Lampf, Pleva, Lipkind, Prupis & Petigrow",Gilbertson,False,True,1.0,False,,0.0,1.0,,,1.0,,,0.0,,,,,1.0,,,,0.0,,,,,,0.0,,,,,1.0,,,1.0,,,theodore_b_olson,1.0,f_gordon_allen_iii,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-93,1990,Langenkamp v. Culp,Langenkamp,Culp,False,False,1.0,False,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_88-7247,1990,Lankford v. Idaho,Lankford,Idaho,False,True,1.0,False,,1.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,0.0,,,larry_echohawk,0.0,joan_marie_fisher,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-29,1990,Leathers v. Medlock,Leathers,Medlock,False,False,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,0.0,,,,1.0,,,,,,1.0,,,,,0.0,,,1.0,,,william_e_keadle,1.0,eugene_g_sayre,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1217,1990,Lehnert v. Ferris Faculty Association,Lehnert,Ferris Faculty Association,False,True,1.0,False,,0.0,0.0,,,1.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,1.0,,,robert_h_chanin,0.0,raymond_j_lajeunesse_jr,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-285,1990,"Litton Financial Printing Div., Litton Business Systems, Inc. v. NLRB","Litton Financial Printing Div., Litton Business Systems, Inc.",National Labor Relations Board,False,True,1.0,False,,1.0,0.0,,,1.0,,,1.0,,,,,0.0,,,,0.0,,,,,,1.0,,,,,0.0,,,1.0,,,david_a_rosenfeld,0.0,mathias_j_diederich,1.0,lawrence_g_wallace,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-5393,1990,Lozada v. Deeds,Lozada,Deeds,False,False,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1541,1990,Martin v. Occupational Safety and Health Review Commission,Martin,Occupational Safety and Health Review Commission,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,clifford_m_sloan,1.0,john_d_faught,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1799,1990,"Masson v. New Yorker Magazine, Inc.",Masson,"New Yorker Magazine, Inc.",False,True,1.0,False,,1.0,0.0,,,0.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,charles_morgan_jr,1.0,h_bartow_farr_iii,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-5635,1990,McCarthy v. Bronson,McCarthy,Bronson,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,christopher_d_cerf,1.0,richard_blumenthal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-7024,1990,McCleskey v. Zant,McCleskey,Zant,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,john_charles_boger,1.0,mary_beth_westmoreland,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1918,1990,McCormick v. United States,McCormick,United States,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,1.0,,,1.0,,,rudolph_l_di_trapano,1.0,christopher_j_wright,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1474,1990,"McDermott International, Inc. v. Wilander","McDermott International, Inc.",Wilander,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,jennifer_j_bercier,0.0,james_e_doyle,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1332,1990,"McNary v. Haitian Refugee Center, Inc.",McNary,"Haitian Refugee Center, Inc.",False,True,0.0,False,,0.0,1.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,1.0,,,ira_jay_kurzban,0.0,michael_r_dreeben,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-5319,1990,McNeil v. Wisconsin,Paul McNeil,Wisconsin,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,gary_m_luck,1.0,david_j_becker,0.0,stephen_l_nightingale,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-5538,1990,Melkonyan v. Sullivan,Melkonyan,Sullivan,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,clifford_m_sloan,0.0,brian_wolfman,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-906,1990,"Metropolitan Washington Airports Authority v. Citizens for the Abatement of Aircraft Noise, Inc.",Metropolitan Washington Airports Authority,"Citizens for the Abatement of Aircraft Noise, Inc.",False,True,0.0,False,,0.0,0.0,,,1.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,1.0,,,1.0,,,william_t_coleman_jr,1.0,david_l_shapiro,1.0,patti_goldman,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-149,1990,Michigan v. Lucas,Michigan,Lucas,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,0.0,,,,,,1.0,,,,,0.0,,,1.0,,,mark_h_magidson,0.0,kenneth_w_starr,2.0,don_w_atkins,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1158,1990,Miles v. Apex Marine Corporation,Miles,Apex Marine Corporation,False,True,0.0,False,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,allain_f_hardin,1.0,gerard_t_gelpi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-6332,1990,Minnick v. Mississippi,Robert S. Minnick,Mississippi,False,True,1.0,False,,1.0,0.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,0.0,,,marvin_l_white_jr,0.0,floyd_abrams,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1452,1990,"Mobil Oil Exploration & Producing Southeast, Inc. v. United Distribution Companies","Mobil Oil Exploration & Producing Southeast, Inc.",United Distribution Companies,False,True,1.0,False,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,edwin_s_kneedler,1.0,roberta_lee_halladay,0.0,rex_e_lee,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-964,1990,Moskal v. United States,Moskal,United States,False,True,0.0,False,,1.0,1.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,0.0,,,0.0,,,stephen_l_nightingale,0.0,dennis_m_hart,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_90-5193,1990,Mu'Min v. Virginia,Mu'Min,Virginia,False,True,0.0,False,,1.0,0.0,,,0.0,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,1.0,,,0.0,,,john_h_blume,1.0,john_h_mclees,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1027,1990,Norfolk & Western Railway Company v. American Train Dispatchers Association,Norfolk & Western Railway Company,American Train Dispatchers Association,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,0.0,,,,,,1.0,,,,,0.0,,,1.0,,,jeffrey_s_berlin,1.0,jeffrey_p_minear,1.0,william_g_mahoney,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1944,1990,Ohio v. Huertas,Ohio,Huertas,False,True,0.0,False,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,joann_bour_stokes,0.0,jonathan_e_rosenbaum,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1322,1990,"Oklahoma Tax Commission v. Citizen Band, Potawatomi Indian Tribe of Oklahoma",Oklahoma Tax Commission,"Citizen Band, Potawatomi Indian Tribe of Oklahoma",False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,edwin_s_kneedler,2.0,michael_minnis,0.0,david_allen_miley,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_109-orig,1990,Oklahoma v. New Mexico,Oklahoma,New Mexico,True,False,0.0,False,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,marian_matthews,1.0,paul_elliott,3.0,r_thomas_lay,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1008,1990,Owen v. Owen,Owen,Owen,False,True,1.0,False,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,0.0,,,,,,1.0,,,,,1.0,,,1.0,,,robert_l_fishell,1.0,timothy_b_dyk,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1279,1990,Pacific Mutual Life Insurance Company v. Haslip,Pacific Mutual Life Insurance Company,Haslip,False,True,0.0,False,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,0.0,,,0.0,,,bruce_j_ennis_jr,0.0,bruce_a_beckman,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-1667,1990,"Palmer v. BRG of Georgia, Inc.",Palmer,"BRG of Georgia, Inc.",False,False,1.0,False,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990_89-5961,1990,Parker v. Dugger,Parker,Dugger,False,True,1.0,False,,0.0,0.0,,,0.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,0.0,,,carolyn_m_snurkowski,0.0,robert_j_link,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
