lb_year,ub_year,baseline_side,baseline
1956,1956,1,0.6260869565217392
1957,1960,1,0.58298755186722
1961,1961,1,0.7058823529411765
1993,1993,1,0.5061728395061729
1994,1998,1,0.6014669926650367
1999,1999,1,0.5945945945945946
2013,2013,1,0.6818181818181818
2014,2018,1,0.6412698412698413
2019,2019,1,0.5964912280701754
