year,justice,baseline_side,baseline
1998,j__stephen_g_breyer,1.0,0.6410256410256411
1998,j__william_h_rehnqu,1.0,0.620253164556962
1999,j__anthony_m_kennedy,1.0,0.5540540540540541
1999,j__antonin_scalia,1.0,0.581081081081081
1999,j__clarence_thoma,1.0,0.581081081081081
1999,j__david_h_souter,1.0,0.589041095890411
1999,j__john_paul_steven,1.0,0.5405405405405406
1999,j__ruth_bader_ginsburg,1.0,0.5405405405405406
1999,j__sandra_day_oconnor,1.0,0.581081081081081
1999,j__stephen_g_breyer,1.0,0.6081081081081081
1999,j__william_h_rehnqu,1.0,0.5945945945945946
2013,j__anthony_m_kennedy,1.0,0.6515151515151515
2013,j__antonin_scalia,1.0,0.6515151515151515
2013,j__clarence_thoma,1.0,0.6212121212121212
2013,j__elena_kagan,1.0,0.671875
2013,j__john_g_roberts_jr,1.0,0.6515151515151515
2013,j__ruth_bader_ginsburg,1.0,0.6666666666666666
2013,j__samuel_a_alito_jr,1.0,0.6615384615384615
2013,j__sonia_sotomayor,1.0,0.6307692307692307
2013,j__stephen_g_breyer,1.0,0.6153846153846154
2014,j__anthony_m_kennedy,1.0,0.6037735849056604
2014,j__antonin_scalia,1.0,0.6792452830188679
2014,j__clarence_thoma,1.0,0.5094339622641509
2014,j__elena_kagan,1.0,0.6415094339622641
2014,j__john_g_roberts_jr,1.0,0.6792452830188679
2014,j__ruth_bader_ginsburg,1.0,0.6415094339622641
2014,j__samuel_a_alito_jr,1.0,0.660377358490566
2014,j__sonia_sotomayor,1.0,0.6792452830188679
2014,j__stephen_g_breyer,1.0,0.6792452830188679
2015,j__anthony_m_kennedy,1.0,0.5294117647058824
2015,j__antonin_scalia,1.0,0.5384615384615384
2015,j__clarence_thoma,0.0,0.5
2015,j__elena_kagan,1.0,0.5074626865671642
2015,j__john_g_roberts_jr,1.0,0.5441176470588235
2015,j__ruth_bader_ginsburg,0.0,0.47058823529411764
2015,j__samuel_a_alito_jr,0.0,0.4696969696969697
2015,j__sonia_sotomayor,1.0,0.582089552238806
2015,j__stephen_g_breyer,1.0,0.5441176470588235
2016,j__anthony_m_kennedy,1.0,0.7580645161290323
2016,j__clarence_thoma,1.0,0.5806451612903226
2016,j__elena_kagan,1.0,0.8166666666666667
2016,j__john_g_roberts_jr,1.0,0.7213114754098361
2016,j__neil_gorsuch,1.0,0.5384615384615384
2016,j__ruth_bader_ginsburg,1.0,0.7580645161290323
2016,j__samuel_a_alito_jr,1.0,0.6451612903225806
2016,j__sonia_sotomayor,1.0,0.7540983606557377
2016,j__stephen_g_breyer,1.0,0.7741935483870968
2017,j__anthony_m_kennedy,1.0,0.6825396825396826
2017,j__clarence_thoma,1.0,0.5238095238095238
2017,j__elena_kagan,1.0,0.5901639344262295
2017,j__john_g_roberts_jr,1.0,0.6984126984126984
2017,j__neil_gorsuch,1.0,0.6333333333333333
2017,j__ruth_bader_ginsburg,1.0,0.5396825396825397
2017,j__samuel_a_alito_jr,1.0,0.5079365079365079
2017,j__sonia_sotomayor,1.0,0.5238095238095238
2017,j__stephen_g_breyer,1.0,0.5396825396825397
2018,j__brett_m_kavanaugh,1.0,0.6557377049180327
2018,j__clarence_thoma,1.0,0.5797101449275363
2018,j__elena_kagan,0.0,0.5217391304347826
2018,j__john_g_roberts_jr,1.0,0.6811594202898551
2018,j__neil_gorsuch,1.0,0.6231884057971014
2018,j__ruth_bader_ginsburg,0.0,0.5362318840579711
2018,j__samuel_a_alito_jr,1.0,0.6231884057971014
2018,j__sonia_sotomayor,0.0,0.5217391304347826
2018,j__stephen_g_breyer,1.0,0.5072463768115942
2019,j__brett_m_kavanaugh,1.0,0.5714285714285714
2019,j__clarence_thoma,1.0,0.49122807017543857
2019,j__elena_kagan,1.0,0.5714285714285714
2019,j__john_g_roberts_jr,1.0,0.5614035087719298
2019,j__neil_gorsuch,1.0,0.543859649122807
2019,j__ruth_bader_ginsburg,1.0,0.631578947368421
2019,j__samuel_a_alito_jr,1.0,0.5087719298245614
2019,j__sonia_sotomayor,1.0,0.5
2019,j__stephen_g_breyer,1.0,0.6666666666666666
